date,year,month,day,hour,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir,pm2.5
2026-01-02 01:00:00,2026,1,2,1,-12,-4.0,1019.0,cv,0.89,0,0,170.0
2026-01-02 02:00:00,2026,1,2,2,-12,-4.0,1019.0,cv,1.34,0,0,174.0
2026-01-02 03:00:00,2026,1,2,3,-12,-4.0,1019.0,NW,0.89,0,0,174.0
2026-01-02 04:00:00,2026,1,2,4,-12,-5.0,1020.0,cv,0.89,0,0,172.0
2026-01-02 05:00:00,2026,1,2,5,-10,-2.0,1020.0,SE,1.79,0,0,149.0
2026-01-02 06:00:00,2026,1,2,6,-7,-2.0,1020.0,SE,3.58,0,0,166.0
2026-01-02 07:00:00,2026,1,2,7,-9,-5.0,1020.0,NE,0.89,0,0,187.0
2026-01-02 08:00:00,2026,1,2,8,-9,-5.0,1021.0,NW,3.13,0,0,107.0
2026-01-02 09:00:00,2026,1,2,9,-7,-2.0,1021.0,NW,4.92,0,0,114.0
2026-01-02 10:00:00,2026,1,2,10,-7,2.0,1021.0,NW,6.71,0,0,108.0
2026-01-02 11:00:00,2026,1,2,11,-8,4.0,1020.0,cv,0.89,0,0,102.0
2026-01-02 12:00:00,2026,1,2,12,-8,5.0,1019.0,cv,1.78,0,0,95.0
2026-01-02 13:00:00,2026,1,2,13,-9,7.0,1017.0,cv,2.67,0,0,127.0
2026-01-02 14:00:00,2026,1,2,14,-9,7.0,1016.0,cv,4.46,0,0,125.0
2026-01-02 15:00:00,2026,1,2,15,-10,7.0,1016.0,cv,5.35,0,0,128.0
2026-01-02 16:00:00,2026,1,2,16,-10,6.0,1016.0,cv,5.8,0,0,146.0
2026-01-02 17:00:00,2026,1,2,17,-9,4.0,1016.0,cv,6.69,0,0,165.0
2026-01-02 18:00:00,2026,1,2,18,-8,3.0,1016.0,cv,7.58,0,0,173.0
2026-01-02 19:00:00,2026,1,2,19,-9,1.0,1016.0,cv,8.47,0,0,195.0
2026-01-02 20:00:00,2026,1,2,20,-8,0.0,1017.0,cv,9.36,0,0,239.0
2026-01-02 21:00:00,2026,1,2,21,-8,0.0,1017.0,SE,0.89,0,0,232.0
2026-01-02 22:00:00,2026,1,2,22,-8,-1.0,1017.0,NE,1.79,0,0,242.0
2026-01-02 23:00:00,2026,1,2,23,-7,-1.0,1018.0,NW,4.02,0,0,269.0
2026-01-03 00:00:00,2026,1,3,0,-9,0.0,1018.0,NW,7.15,0,0,264.0
2026-01-03 01:00:00,2026,1,3,1,-9,1.0,1018.0,cv,0.45,0,0,220.0
2026-01-03 02:00:00,2026,1,3,2,-9,0.0,1019.0,NW,4.02,0,0,146.0
2026-01-03 03:00:00,2026,1,3,3,-9,1.0,1019.0,cv,0.89,0,0,34.0
2026-01-03 04:00:00,2026,1,3,4,-9,-2.0,1020.0,NW,3.13,0,0,34.0
2026-01-03 05:00:00,2026,1,3,5,-9,-1.0,1020.0,NW,7.15,0,0,35.0
2026-01-03 06:00:00,2026,1,3,6,-13,0.0,1020.0,cv,0.89,0,0,45.0
2026-01-03 07:00:00,2026,1,3,7,-13,-1.0,1022.0,NW,3.13,0,0,43.0
2026-01-03 08:00:00,2026,1,3,8,-12,-1.0,1023.0,NW,7.15,0,0,43.0
2026-01-03 09:00:00,2026,1,3,9,-13,4.0,1024.0,NW,11.17,0,0,36.0
2026-01-03 10:00:00,2026,1,3,10,-16,7.0,1025.0,NW,14.3,0,0,36.0
2026-01-03 11:00:00,2026,1,3,11,-16,8.0,1024.0,NW,17.43,0,0,23.0
2026-01-03 12:00:00,2026,1,3,12,-16,8.0,1023.0,NW,20.56,0,0,25.0
2026-01-03 13:00:00,2026,1,3,13,-17,9.0,1022.0,NW,22.35,0,0,29.0
2026-01-03 14:00:00,2026,1,3,14,-18,9.0,1022.0,NE,1.79,0,0,26.0
2026-01-03 15:00:00,2026,1,3,15,-17,8.0,1022.0,NE,3.58,0,0,21.0
2026-01-03 16:00:00,2026,1,3,16,-17,7.0,1022.0,SE,1.79,0,0,25.0
2026-01-03 17:00:00,2026,1,3,17,-17,5.0,1023.0,SE,3.58,0,0,31.0
2026-01-03 18:00:00,2026,1,3,18,-17,3.0,1023.0,cv,0.45,0,0,43.0
2026-01-03 19:00:00,2026,1,3,19,-17,3.0,1024.0,cv,1.34,0,0,46.0
2026-01-03 20:00:00,2026,1,3,20,-16,1.0,1024.0,cv,2.23,0,0,50.0
2026-01-03 21:00:00,2026,1,3,21,-13,-1.0,1024.0,cv,2.68,0,0,68.0
2026-01-03 22:00:00,2026,1,3,22,-11,-1.0,1025.0,SE,1.79,0,0,60.0
2026-01-03 23:00:00,2026,1,3,23,-8,-1.0,1025.0,SE,4.92,0,0,103.0
2026-01-04 00:00:00,2026,1,4,0,-6,-1.0,1026.0,SE,6.71,0,0,85.0
2026-01-04 01:00:00,2026,1,4,1,-6,-2.0,1025.0,SE,8.5,0,0,86.0
2026-01-04 02:00:00,2026,1,4,2,-7,-2.0,1025.0,cv,0.89,0,0,89.0
2026-01-04 03:00:00,2026,1,4,3,-7,-2.0,1025.0,SE,1.79,0,0,77.0
2026-01-04 04:00:00,2026,1,4,4,-9,-5.0,1025.0,cv,0.45,0,0,77.0
2026-01-04 05:00:00,2026,1,4,5,-9,-5.0,1025.0,cv,1.34,0,0,75.0
2026-01-04 06:00:00,2026,1,4,6,-9,-6.0,1025.0,cv,1.79,0,0,80.0
2026-01-04 07:00:00,2026,1,4,7,-7,-4.0,1025.0,SE,0.89,0,0,86.0
2026-01-04 08:00:00,2026,1,4,8,-7,-3.0,1025.0,cv,0.89,0,0,95.0
2026-01-04 09:00:00,2026,1,4,9,-6,-2.0,1025.0,SE,0.89,0,0,101.0
2026-01-04 10:00:00,2026,1,4,10,-6,-1.0,1025.0,SE,1.78,0,0,132.0
2026-01-04 11:00:00,2026,1,4,11,-5,-1.0,1024.0,SE,3.57,0,0,153.0
2026-01-04 12:00:00,2026,1,4,12,-6,0.0,1023.0,NE,1.79,0,0,173.0
2026-01-04 13:00:00,2026,1,4,13,-7,1.0,1021.0,cv,0.89,0,0,178.0
2026-01-04 14:00:00,2026,1,4,14,-7,2.0,1020.0,SE,1.79,0,0,176.0
2026-01-04 15:00:00,2026,1,4,15,-7,2.0,1020.0,cv,0.89,0,0,209.0
2026-01-04 16:00:00,2026,1,4,16,-7,2.0,1020.0,NW,1.79,0,0,219.0
2026-01-04 17:00:00,2026,1,4,17,-7,1.0,1020.0,NW,3.58,0,0,224.0
2026-01-04 18:00:00,2026,1,4,18,-8,-2.0,1020.0,NW,6.71,0,0,212.0
2026-01-04 19:00:00,2026,1,4,19,-8,-3.0,1021.0,NW,8.5,0,0,221.0
2026-01-04 20:00:00,2026,1,4,20,-8,-4.0,1021.0,NW,10.29,0,0,221.0
2026-01-04 21:00:00,2026,1,4,21,-8,-4.0,1021.0,cv,0.89,0,0,217.0
2026-01-04 22:00:00,2026,1,4,22,-8,-4.0,1021.0,cv,1.78,0,0,203.0
2026-01-04 23:00:00,2026,1,4,23,-9,-5.0,1021.0,NW,1.79,0,0,221.0
2026-01-05 00:00:00,2026,1,5,0,-8,-4.0,1021.0,NW,3.58,0,0,192.0
2026-01-05 01:00:00,2026,1,5,1,-10,-6.0,1022.0,NW,6.71,0,0,183.0
2026-01-05 02:00:00,2026,1,5,2,-8,-5.0,1022.0,NW,10.73,0,0,175.0
2026-01-05 03:00:00,2026,1,5,3,-9,-6.0,1022.0,NW,14.75,0,0,177.0
2026-01-05 04:00:00,2026,1,5,4,-10,-7.0,1023.0,NW,17.88,0,0,183.0
2026-01-05 05:00:00,2026,1,5,5,-10,-7.0,1023.0,NW,22.8,0,0,155.0
2026-01-05 06:00:00,2026,1,5,6,-9,-6.0,1023.0,NW,26.82,0,0,151.0
2026-01-05 07:00:00,2026,1,5,7,-10,-7.0,1024.0,NW,29.95,0,0,137.0
2026-01-05 08:00:00,2026,1,5,8,-8,-4.0,1024.0,NW,34.87,0,0,109.0
2026-01-05 09:00:00,2026,1,5,9,-8,-2.0,1025.0,NW,39.79,0,0,140.0
2026-01-05 10:00:00,2026,1,5,10,-8,1.0,1026.0,NW,42.92,0,0,117.0
2026-01-05 11:00:00,2026,1,5,11,-12,5.0,1026.0,NW,46.05,0,0,128.0
2026-01-05 12:00:00,2026,1,5,12,-14,5.0,1025.0,NE,3.13,0,0,54.0
2026-01-05 13:00:00,2026,1,5,13,-14,5.0,1024.0,NE,6.26,0,0,34.0
2026-01-05 14:00:00,2026,1,5,14,-15,6.0,1024.0,NE,9.39,0,0,32.0
2026-01-05 15:00:00,2026,1,5,15,-15,6.0,1024.0,NE,12.52,0,0,28.0
2026-01-05 16:00:00,2026,1,5,16,-15,6.0,1024.0,SE,3.13,0,0,29.0
2026-01-05 17:00:00,2026,1,5,17,-15,3.0,1024.0,SE,4.92,0,0,37.0
2026-01-05 18:00:00,2026,1,5,18,-15,1.0,1025.0,SE,6.71,0,0,46.0
2026-01-05 19:00:00,2026,1,5,19,-12,-1.0,1025.0,cv,0.89,0,0,54.0
2026-01-05 20:00:00,2026,1,5,20,-12,-2.0,1026.0,cv,1.78,0,0,53.0
2026-01-05 21:00:00,2026,1,5,21,-12,0.0,1026.0,SE,4.02,0,0,47.0
2026-01-05 22:00:00,2026,1,5,22,-9,-1.0,1027.0,SE,7.15,0,0,112.0
2026-01-05 23:00:00,2026,1,5,23,-8,-2.0,1028.0,SE,8.94,0,0,125.0
2026-01-06 00:00:00,2026,1,6,0,-7,-3.0,1028.0,cv,0.89,0,0,128.0
2026-01-06 01:00:00,2026,1,6,1,-5,-2.0,1028.0,cv,1.78,0,0,126.0
2026-01-06 02:00:00,2026,1,6,2,-5,-1.0,1028.0,cv,2.67,0,0,153.0
2026-01-06 03:00:00,2026,1,6,3,-5,-1.0,1028.0,cv,3.12,1,0,157.0
2026-01-06 04:00:00,2026,1,6,4,-5,-1.0,1027.0,SE,0.89,2,0,144.0
2026-01-06 05:00:00,2026,1,6,5,-5,-1.0,1027.0,cv,0.89,3,0,138.0
2026-01-06 06:00:00,2026,1,6,6,-5,-1.0,1027.0,SE,1.79,0,0,128.0
2026-01-06 07:00:00,2026,1,6,7,-5,-1.0,1027.0,SE,3.58,0,0,126.0
2026-01-06 08:00:00,2026,1,6,8,-5,-1.0,1027.0,SE,5.37,0,0,126.0
2026-01-06 09:00:00,2026,1,6,9,-6,-1.0,1028.0,SE,8.5,1,0,159.0
2026-01-06 10:00:00,2026,1,6,10,-5,-1.0,1028.0,SE,11.63,2,0,149.0
2026-01-06 11:00:00,2026,1,6,11,-4,0.0,1027.0,SE,15.65,0,0,123.0
2026-01-06 12:00:00,2026,1,6,12,-4,0.0,1026.0,SE,18.78,0,0,150.0
2026-01-06 13:00:00,2026,1,6,13,-5,0.0,1025.0,SE,22.8,0,0,146.0
2026-01-06 14:00:00,2026,1,6,14,-5,0.0,1024.0,SE,25.93,0,0,145.0
2026-01-06 15:00:00,2026,1,6,15,-5,0.0,1024.0,SE,27.72,0,0,160.0
2026-01-06 16:00:00,2026,1,6,16,-5,0.0,1024.0,SE,29.51,0,0,148.0
2026-01-06 17:00:00,2026,1,6,17,-5,0.0,1024.0,SE,30.4,0,0,156.0
2026-01-06 18:00:00,2026,1,6,18,-7,-2.0,1024.0,SE,31.29,0,0,158.0
2026-01-06 19:00:00,2026,1,6,19,-6,-2.0,1024.0,NE,0.89,0,0,167.0
2026-01-06 20:00:00,2026,1,6,20,-5,-1.0,1025.0,SE,0.89,0,0,171.0
2026-01-06 21:00:00,2026,1,6,21,-6,-1.0,1025.0,SE,1.78,0,0,177.0
2026-01-06 22:00:00,2026,1,6,22,-6,-1.0,1025.0,NE,0.89,0,0,185.0
2026-01-06 23:00:00,2026,1,6,23,-6,-1.0,1024.0,cv,0.89,0,0,201.0
2026-01-07 00:00:00,2026,1,7,0,-6,-1.0,1024.0,cv,1.34,0,0,217.0
2026-01-07 01:00:00,2026,1,7,1,-6,-2.0,1024.0,NE,0.89,0,0,208.0
2026-01-07 02:00:00,2026,1,7,2,-7,-4.0,1024.0,cv,0.89,0,0,204.0
2026-01-07 03:00:00,2026,1,7,3,-7,-4.0,1025.0,NW,0.89,0,0,213.0
2026-01-07 04:00:00,2026,1,7,4,-6,-3.0,1025.0,NW,2.68,0,0,256.0
2026-01-07 05:00:00,2026,1,7,5,-6,-3.0,1024.0,NW,5.81,0,0,211.0
2026-01-07 06:00:00,2026,1,7,6,-8,-5.0,1024.0,NW,8.94,0,0,203.0
2026-01-07 07:00:00,2026,1,7,7,-7,-5.0,1025.0,NW,12.07,0,0,212.0
2026-01-07 08:00:00,2026,1,7,8,-6,-3.0,1026.0,NW,16.09,0,0,205.0
2026-01-07 09:00:00,2026,1,7,9,-7,-1.0,1027.0,NW,20.11,0,0,196.0
2026-01-07 10:00:00,2026,1,7,10,-8,1.0,1028.0,NW,24.13,0,0,182.0
2026-01-07 11:00:00,2026,1,7,11,-11,3.0,1027.0,NE,4.02,0,0,124.0
2026-01-07 12:00:00,2026,1,7,12,-14,3.0,1027.0,NE,8.94,0,0,102.0
2026-01-07 13:00:00,2026,1,7,13,-14,5.0,1026.0,NE,12.96,0,0,77.0
2026-01-07 14:00:00,2026,1,7,14,-16,5.0,1026.0,NE,16.98,0,0,48.0
2026-01-07 15:00:00,2026,1,7,15,-16,5.0,1026.0,NW,3.13,0,0,38.0
2026-01-07 16:00:00,2026,1,7,16,-16,5.0,1027.0,NE,1.79,0,0,31.0
2026-01-07 17:00:00,2026,1,7,17,-16,4.0,1028.0,NW,1.79,0,0,27.0
2026-01-07 18:00:00,2026,1,7,18,-16,4.0,1028.0,NW,4.92,0,0,33.0
2026-01-07 19:00:00,2026,1,7,19,-16,-1.0,1029.0,NW,8.94,0,0,35.0
2026-01-07 20:00:00,2026,1,7,20,-19,-1.0,1030.0,NW,12.07,0,0,29.0
2026-01-07 21:00:00,2026,1,7,21,-20,0.0,1031.0,NW,16.09,0,0,24.0
2026-01-07 22:00:00,2026,1,7,22,-25,0.0,1032.0,NW,20.11,0,0,26.0
2026-01-07 23:00:00,2026,1,7,23,-21,-4.0,1032.0,NW,24.13,0,0,11.0
2026-01-08 00:00:00,2026,1,8,0,-22,-3.0,1032.0,NW,28.15,0,0,14.0
2026-01-08 01:00:00,2026,1,8,1,-21,-4.0,1033.0,NW,31.28,0,0,12.0
2026-01-08 02:00:00,2026,1,8,2,-21,-4.0,1033.0,NW,34.41,0,0,9.0
2026-01-08 03:00:00,2026,1,8,3,-20,-4.0,1033.0,NW,39.33,0,0,11.0
2026-01-08 04:00:00,2026,1,8,4,-20,-5.0,1034.0,NW,43.35,0,0,15.0
2026-01-08 05:00:00,2026,1,8,5,-20,-5.0,1034.0,NE,1.79,0,0,13.0
2026-01-08 06:00:00,2026,1,8,6,-21,-6.0,1034.0,NW,1.79,0,0,15.0
2026-01-08 07:00:00,2026,1,8,7,-20,-6.0,1034.0,NW,6.71,0,0,17.0
2026-01-08 08:00:00,2026,1,8,8,-20,-5.0,1035.0,NE,4.02,0,0,19.0
2026-01-08 09:00:00,2026,1,8,9,-21,-5.0,1036.0,NW,3.13,0,0,18.0
2026-01-08 10:00:00,2026,1,8,10,-20,-2.0,1036.0,NW,7.15,0,0,21.0
2026-01-08 11:00:00,2026,1,8,11,-21,-1.0,1035.0,cv,1.79,0,0,17.0
2026-01-08 12:00:00,2026,1,8,12,-28,0.0,1034.0,NW,8.94,0,0,22.0
2026-01-08 13:00:00,2026,1,8,13,-27,1.0,1033.0,NW,16.09,0,0,23.0
2026-01-08 14:00:00,2026,1,8,14,-25,0.0,1032.0,NW,21.9,0,0,16.0
2026-01-08 15:00:00,2026,1,8,15,-26,0.0,1032.0,NW,27.71,0,0,22.0
2026-01-08 16:00:00,2026,1,8,16,-25,0.0,1032.0,NW,33.52,0,0,18.0
2026-01-08 17:00:00,2026,1,8,17,-26,-1.0,1033.0,NW,39.33,0,0,17.0
2026-01-08 18:00:00,2026,1,8,18,-26,-2.0,1033.0,NW,44.25,0,0,21.0
2026-01-08 19:00:00,2026,1,8,19,-25,-2.0,1033.0,NW,49.17,0,0,23.0
2026-01-08 20:00:00,2026,1,8,20,-25,-5.0,1034.0,NW,54.09,0,0,22.0
2026-01-08 21:00:00,2026,1,8,21,-25,-7.0,1034.0,NW,58.11,0,0,21.0
2026-01-08 22:00:00,2026,1,8,22,-23,-8.0,1034.0,NW,59.9,0,0,23.0
2026-01-08 23:00:00,2026,1,8,23,-24,-7.0,1034.0,SE,1.79,0,0,53.0
2026-01-09 00:00:00,2026,1,9,0,-23,-10.0,1034.0,cv,0.89,0,0,66.0
2026-01-09 01:00:00,2026,1,9,1,-23,-10.0,1033.0,NW,1.79,0,0,52.0
2026-01-09 02:00:00,2026,1,9,2,-23,-9.0,1033.0,NW,3.58,0,0,30.0
2026-01-09 03:00:00,2026,1,9,3,-23,-11.0,1033.0,NW,6.71,0,0,10.0
2026-01-09 04:00:00,2026,1,9,4,-23,-8.0,1033.0,NW,9.84,0,0,10.0
2026-01-09 05:00:00,2026,1,9,5,-26,-6.0,1033.0,NW,14.76,0,0,13.0
2026-01-09 06:00:00,2026,1,9,6,-25,-7.0,1033.0,NW,18.78,0,0,11.0
2026-01-09 07:00:00,2026,1,9,7,-25,-9.0,1033.0,NW,20.57,0,0,14.0
2026-01-09 08:00:00,2026,1,9,8,-24,-9.0,1034.0,NW,23.7,0,0,20.0
2026-01-09 09:00:00,2026,1,9,9,-25,-4.0,1035.0,NW,27.72,0,0,22.0
2026-01-09 10:00:00,2026,1,9,10,-26,-3.0,1035.0,NW,31.74,0,0,23.0
2026-01-09 11:00:00,2026,1,9,11,-28,-2.0,1034.0,NW,37.55,0,0,20.0
2026-01-09 12:00:00,2026,1,9,12,-28,0.0,1032.0,NW,42.47,0,0,17.0
2026-01-09 13:00:00,2026,1,9,13,-32,0.0,1031.0,NW,48.28,0,0,14.0
2026-01-09 14:00:00,2026,1,9,14,-33,1.0,1029.0,NW,54.09,0,0,10.0
2026-01-09 15:00:00,2026,1,9,15,-35,1.0,1029.0,NW,61.24,0,0,10.0
2026-01-09 16:00:00,2026,1,9,16,-34,1.0,1029.0,NW,67.05,0,0,27.0
2026-01-09 17:00:00,2026,1,9,17,-26,0.0,1029.0,SE,4.92,0,0,44.0
2026-01-09 18:00:00,2026,1,9,18,-24,-1.0,1029.0,SE,8.05,0,0,53.0
2026-01-09 19:00:00,2026,1,9,19,-23,-2.0,1030.0,SE,9.84,0,0,59.0
2026-01-09 20:00:00,2026,1,9,20,-22,-2.0,1030.0,SE,12.97,0,0,56.0
2026-01-09 21:00:00,2026,1,9,21,-23,-2.0,1030.0,SE,14.76,0,0,58.0
2026-01-09 22:00:00,2026,1,9,22,-24,-6.0,1031.0,cv,0.89,0,0,66.0
2026-01-09 23:00:00,2026,1,9,23,-21,-8.0,1031.0,NE,0.89,0,0,73.0
2026-01-10 00:00:00,2026,1,10,0,-20,-9.0,1031.0,cv,0.89,0,0,83.0
2026-01-10 01:00:00,2026,1,10,1,-20,-9.0,1031.0,cv,1.78,0,0,81.0
2026-01-10 02:00:00,2026,1,10,2,-22,-12.0,1031.0,NW,1.79,0,0,91.0
2026-01-10 03:00:00,2026,1,10,3,-22,-11.0,1031.0,NW,3.58,0,0,104.0
2026-01-10 04:00:00,2026,1,10,4,-22,-12.0,1031.0,NW,5.37,0,0,88.0
2026-01-10 05:00:00,2026,1,10,5,-23,-13.0,1031.0,NW,7.16,0,0,85.0
2026-01-10 06:00:00,2026,1,10,6,-22,-13.0,1031.0,NW,10.29,0,0,66.0
2026-01-10 07:00:00,2026,1,10,7,-23,-13.0,1031.0,NW,13.42,0,0,47.0
2026-01-10 08:00:00,2026,1,10,8,-22,-11.0,1031.0,cv,0.89,0,0,70.0
2026-01-10 09:00:00,2026,1,10,9,-21,-8.0,1032.0,NW,1.79,0,0,61.0
2026-01-10 10:00:00,2026,1,10,10,-22,-5.0,1032.0,cv,0.89,0,0,47.0
2026-01-10 11:00:00,2026,1,10,11,-23,-2.0,1032.0,cv,1.78,0,0,61.0
2026-01-10 12:00:00,2026,1,10,12,-25,0.0,1031.0,cv,2.67,0,0,69.0
2026-01-10 13:00:00,2026,1,10,13,-27,3.0,1030.0,NW,1.79,0,0,66.0
2026-01-10 14:00:00,2026,1,10,14,-28,3.0,1029.0,NW,3.58,0,0,63.0
2026-01-10 15:00:00,2026,1,10,15,-27,4.0,1029.0,SE,1.79,0,0,43.0
2026-01-10 16:00:00,2026,1,10,16,-29,5.0,1029.0,NW,4.92,0,0,48.0
2026-01-10 17:00:00,2026,1,10,17,-26,2.0,1029.0,SE,4.02,0,0,67.0
2026-01-10 18:00:00,2026,1,10,18,-26,1.0,1030.0,SE,8.04,0,0,87.0
2026-01-10 19:00:00,2026,1,10,19,-25,1.0,1030.0,SE,12.06,0,0,127.0
2026-01-10 20:00:00,2026,1,10,20,-20,-3.0,1031.0,cv,0.89,0,0,126.0
2026-01-10 21:00:00,2026,1,10,21,-24,1.0,1031.0,cv,1.78,0,0,126.0
2026-01-10 22:00:00,2026,1,10,22,-19,-5.0,1032.0,SE,1.79,0,0,106.0
2026-01-10 23:00:00,2026,1,10,23,-20,-8.0,1032.0,SE,2.68,0,0,104.0
2026-01-11 00:00:00,2026,1,11,0,-19,-9.0,1032.0,NE,0.89,0,0,118.0
2026-01-11 01:00:00,2026,1,11,1,-19,-9.0,1032.0,NE,1.78,0,0,141.0
2026-01-11 02:00:00,2026,1,11,2,-19,-9.0,1032.0,NW,1.79,0,0,199.0
2026-01-11 03:00:00,2026,1,11,3,-19,-10.0,1032.0,NW,2.68,0,0,262.0
2026-01-11 04:00:00,2026,1,11,4,-21,-10.0,1032.0,NW,4.47,0,0,234.0
2026-01-11 05:00:00,2026,1,11,5,-19,-11.0,1032.0,cv,0.89,0,0,221.0
2026-01-11 06:00:00,2026,1,11,6,-20,-12.0,1031.0,NW,0.89,0,0,177.0
2026-01-11 07:00:00,2026,1,11,7,-20,-11.0,1031.0,NW,4.02,0,0,135.0
2026-01-11 08:00:00,2026,1,11,8,-20,-11.0,1032.0,NE,1.79,0,0,108.0
2026-01-11 09:00:00,2026,1,11,9,-18,-7.0,1032.0,cv,0.89,0,0,97.0
2026-01-11 10:00:00,2026,1,11,10,-20,-3.0,1032.0,NW,1.79,0,0,87.0
2026-01-11 11:00:00,2026,1,11,11,-21,-1.0,1031.0,NW,3.58,0,0,85.0
2026-01-11 12:00:00,2026,1,11,12,-25,1.0,1030.0,NW,5.37,0,0,81.0
2026-01-11 13:00:00,2026,1,11,13,-25,3.0,1029.0,cv,1.79,0,0,82.0
2026-01-11 14:00:00,2026,1,11,14,-25,5.0,1028.0,NW,1.79,0,0,81.0
2026-01-11 15:00:00,2026,1,11,15,-27,5.0,1027.0,cv,1.79,0,0,111.0
2026-01-11 16:00:00,2026,1,11,16,-25,4.0,1027.0,SE,4.02,0,0,143.0
2026-01-11 17:00:00,2026,1,11,17,-22,2.0,1027.0,SE,7.15,0,0,153.0
2026-01-11 18:00:00,2026,1,11,18,-21,2.0,1028.0,SE,11.17,0,0,189.0
2026-01-11 19:00:00,2026,1,11,19,-19,2.0,1029.0,SE,14.3,0,0,244.0
2026-01-11 20:00:00,2026,1,11,20,-18,-4.0,1029.0,NW,0.89,0,0,273.0
2026-01-11 21:00:00,2026,1,11,21,-19,-5.0,1030.0,NW,2.68,0,0,218.0
2026-01-11 22:00:00,2026,1,11,22,-19,-1.0,1031.0,NW,6.7,0,0,227.0
2026-01-11 23:00:00,2026,1,11,23,-19,-2.0,1032.0,cv,0.89,0,0,95.0
2026-01-12 00:00:00,2026,1,12,0,-22,1.0,1032.0,NW,8.94,0,0,20.0
2026-01-12 01:00:00,2026,1,12,1,-21,-1.0,1033.0,NW,16.09,0,0,
2026-01-12 02:00:00,2026,1,12,2,-24,-1.0,1034.0,NW,24.14,0,0,
2026-01-12 03:00:00,2026,1,12,3,-22,-3.0,1035.0,NW,29.95,0,0,
2026-01-12 04:00:00,2026,1,12,4,-23,-6.0,1035.0,NW,33.97,0,0,
2026-01-12 05:00:00,2026,1,12,5,-22,-7.0,1035.0,NW,37.99,0,0,
2026-01-12 06:00:00,2026,1,12,6,-24,-6.0,1036.0,NW,39.78,0,0,12.0
2026-01-12 07:00:00,2026,1,12,7,-23,-7.0,1037.0,NW,42.91,0,0,12.0
2026-01-12 08:00:00,2026,1,12,8,-22,-6.0,1038.0,cv,0.89,0,0,17.0
2026-01-12 09:00:00,2026,1,12,9,-22,-2.0,1039.0,NW,1.79,0,0,33.0
2026-01-12 10:00:00,2026,1,12,10,-23,0.0,1039.0,NW,3.58,0,0,22.0
2026-01-12 11:00:00,2026,1,12,11,-26,1.0,1039.0,NE,1.79,0,0,20.0
2026-01-12 12:00:00,2026,1,12,12,-26,1.0,1038.0,cv,0.89,0,0,10.0
2026-01-12 13:00:00,2026,1,12,13,-27,2.0,1036.0,NW,4.02,0,0,14.0
2026-01-12 14:00:00,2026,1,12,14,-27,2.0,1036.0,NW,8.04,0,0,12.0
2026-01-12 15:00:00,2026,1,12,15,-27,4.0,1035.0,NW,12.06,0,0,12.0
